STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,URBANIZATION,HH_MAC,IC_QUINTILE,FINANCIAL_HARDSHIP,INDEX_COMP,SPEND_LEVEL,UNIT_MEASURE,OBS_CONF,UNIT_TYPE,DATABASE_ID,DECIMALS,UNIT_MULT,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,URBANIZATION_LABEL,HH_MAC_LABEL,IC_QUINTILE_LABEL,FINANCIAL_HARDSHIP_LABEL,INDEX_COMP_LABEL,SPEND_LEVEL_LABEL,UNIT_MEASURE_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,DECIMALS_LABEL,UNIT_MULT_LABEL,1985,1986,1987,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ARM,UHC_FH40,_T,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Armenia,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,20.29,,16.48,16.83,16.17,20.8,17.32,12.77,12.85,10.51,12.72,21.91,17.83,18.81,18.02,20.52,23.74,23.66,23.1,20.99,25.8,23.52,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,HIC,UHC_FH40,_T,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,High income,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,10.53,9.83,10.32,10.08,10.07,10.14,9.64,9.6,9.64,9.94,9.16,9.75,10.78,10.73,10.58,9.47,9.83,10.55,9.74,10,9.37,9.72,9.66,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,POL,UHC_FH40,URB,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Poland,Population facing financial hardship due to out-of-pocket health expenditure,Urban area,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,15.52,,,,,11.18,10.89,12.23,11.78,12.16,10.42,10.81,12.67,12.98,13.59,13.06,13.25,11.89,12.79,12.59,13.1,12.76,12.73,12.83,12.87,11.86,11.18,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,IDN,UHC_FH40,_T,_T,_T,FURTHER,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Indonesia,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,"2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,29.12,26.82,45.9,41.71,,40.38,38.02,36.6,36.41,,31.18,30.39,29.45,28.13,29.12,30.33,32.09,31,29.5,27.16,25.09,27.66,26.92,25.29,24.54,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,XKX,UHC_FH40,_T,_T,IC_Q4,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Kosovo,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,Wealth quintile 4,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,0.8,,4.32,1.7,,,2.89,1.36,1.53,,,,,2.32,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ESP,UHC_FH40,_T,_T,_T,IMPOV,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Spain,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,"2: Facing impoverishing out-of-pocket health expenditure, based on the societal poverty line",Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,6.08,,,,,,,,,,7.64,7.3,7.58,8.01,8.21,7.95,7.81,8.07,7.94,8.48,8.23,8.49,8.44,9.72,8.45,9.11,9.42,9.19,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,GIN,UHC_FH40,RUR,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Guinea,Population facing financial hardship due to out-of-pocket health expenditure,Rural area,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,45.08,,,,,56.31,,,,,35.1,,,,,,50.33,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,GMB,UHC_FH40,_T,_T,_T,IMPOV,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,"Gambia, The",Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,"2: Facing impoverishing out-of-pocket health expenditure, based on the societal poverty line",Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,47.29,,,,,,,32,,,,,25.12,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,SYC,UHC_FH40,_T,_T,_T,ALL_FH,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Seychelles,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,All financial hardship,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,,,,,7,,,,,,,11.39,,,,,,,,,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,GNB,UHC_FH40,_T,_T,_T,PUSHED,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Guinea-Bissau,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,,1.72,,,,,,,,1.15,,,,,,,,1.87,,,2.8,,,
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ITA,UHC_FH40,_T,_T,_T,FURTHER,_Z,_Z,PT_POP,PU,RATIO,WB_UHC,1,0,A,Annual,Italy,Population facing financial hardship due to out-of-pocket health expenditure,Total,All types,All,"2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",Not applicable,Not applicable,Percentage of population,Normal value,Public,Ratio,Universal Health Coverage (UHC),One,Units,,,,,,,,,,,,,,,,5.12,,,,,,,,,5.48,,,,,,,,,,,,,,
