STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,URBANIZATION,HH_MAC,IC_QUINTILE,FINANCIAL_HARDSHIP,INDEX_COMP,SPEND_LEVEL,UNIT_MEASURE,OBS_CONF,UNIT_TYPE,DATABASE_ID,DECIMALS,UNIT_MULT,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,URBANIZATION_LABEL,HH_MAC_LABEL,IC_QUINTILE_LABEL,FINANCIAL_HARDSHIP_LABEL,INDEX_COMP_LABEL,SPEND_LEVEL_LABEL,UNIT_MEASURE_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,DECIMALS_LABEL,UNIT_MULT_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,MWI,UHC_SCI,_Z,_Z,_Z,_Z,NCD,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Malawi,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Non-communicable diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,47.0,48.0,49.0,51.0,52.0,53.0,55.0,56.0,57.0,58.0,60.0,61.0,62.0,64.0,65.0,66.0,68.0,69.0,70.0,71.0,72.0,72.0,73.0,73.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,KNA,UHC_SCI,_Z,_Z,_Z,_Z,_T,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,St. Kitts and Nevis,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Full index,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,75.0,75.0,75.0,76.0,76.0,77.0,77.0,77.0,78.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,78.0,78.0,78.0,78.0,80.0,81.0,80.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,DEU,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Germany,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,95.0,97.0,98.0,100.0,99.0,99.0,99.0,97.0,96.0,96.0,95.0,95.0,95.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,TON,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Tonga,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,GEO,UHC_SCI,_Z,_Z,_Z,_Z,NCD,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Georgia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Non-communicable diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,44.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,KEN,UHC_SCI,_Z,_Z,_Z,_Z,_T,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Kenya,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Full index,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,29.0,28.0,29.0,28.0,31.0,36.0,41.0,43.0,44.0,45.0,46.0,52.0,54.0,53.0,53.0,53.0,55.0,56.0,54.0,52.0,49.0,53.0,57.0,57.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,MYS,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Malaysia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,92.0,92.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,LCA,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,St. Lucia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,54.0,54.0,56.0,57.0,54.0,52.0,53.0,53.0,54.0,54.0,55.0,61.0,61.0,63.0,64.0,77.0,84.0,79.0,79.0,85.0,88.0,84.0,71.0,74.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CMR,UHC_SCI,_Z,_Z,_Z,_Z,_T,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Cameroon,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Full index,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,32.0,31.0,30.0,29.0,29.0,28.0,33.0,34.0,34.0,35.0,35.0,44.0,46.0,46.0,47.0,47.0,47.0,47.0,45.0,46.0,47.0,43.0,47.0,48.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,EAS,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,East Asia & Pacific,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,67.0,67.0,66.0,67.0,68.0,68.0,69.0,69.0,71.0,71.0,71.0,74.0,75.0,79.0,81.0,83.0,84.0,86.0,85.0,87.0,89.0,90.0,90.0,89.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,GEO,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Georgia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,97.0,97.0,93.0,94.0,90.0,87.0,83.0,84.0,86.0,89.0,90.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CRI,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Costa Rica,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,81.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,83.0,83.0,83.0,84.0,83.0,83.0,84.0,83.0,84.0,84.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ECS,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Europe & Central Asia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,93.0,94.0,93.0,94.0,94.0,95.0,94.0,93.0,93.0,94.0,93.0,94.0,93.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,DEU,UHC_SCI,_Z,_Z,_Z,_Z,NCD,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Germany,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Non-communicable diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,48.0,49.0,50.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0,62.0,62.0,63.0,64.0,64.0,65.0,65.0,66.0,66.0,67.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ESP,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Spain,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,85.0,85.0,86.0,86.0,86.0,87.0,87.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,MRT,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Mauritania,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,20.0,22.0,23.0,24.0,23.0,24.0,25.0,23.0,26.0,26.0,28.0,31.0,27.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,TJK,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Tajikistan,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,93.0,93.0,92.0,90.0,89.0,89.0,89.0,89.0,90.0,88.0,90.0,91.0,90.0,94.0,98.0,97.0,93.0,88.0,83.0,85.0,84.0,83.0,86.0,87.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CHN,UHC_SCI,_Z,_Z,_Z,_Z,_T,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,China,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Full index,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,64.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,77.0,78.0,79.0,80.0,81.0,81.0,82.0,83.0,84.0,84.0,85.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ARM,UHC_SCI,_Z,_Z,_Z,_Z,_T,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Armenia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Full index,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,57.0,58.0,58.0,59.0,59.0,59.0,61.0,62.0,63.0,64.0,65.0,66.0,68.0,69.0,70.0,70.0,71.0,71.0,70.0,71.0,71.0,71.0,71.0,69.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,TCD,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Chad,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,7.0,6.0,6.0,5.0,5.0,6.0,7.0,7.0,8.0,8.0,10.0,18.0,14.0,11.0,19.0,12.0,10.0,23.0,21.0,15.0,25.0,23.0,18.0,27.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,VEN,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,"Venezuela, RB",Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,86.0,86.0,87.0,88.0,88.0,89.0,89.0,90.0,90.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,95.0,95.0,96.0,97.0,97.0,97.0,98.0,98.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,SWZ,UHC_SCI,_Z,_Z,_Z,_Z,NCD,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Eswatini,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Non-communicable diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,64.0,64.0,65.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,UZB,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Uzbekistan,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,93.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,NIC,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Nicaragua,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,44.0,44.0,44.0,44.0,44.0,45.0,45.0,47.0,49.0,49.0,49.0,51.0,53.0,56.0,57.0,53.0,57.0,58.0,52.0,54.0,55.0,53.0,56.0,49.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,HTI,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Haiti,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,18.0,19.0,20.0,21.0,21.0,22.0,23.0,23.0,24.0,24.0,25.0,25.0,26.0,26.0,27.0,27.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,LSO,UHC_SCI,_Z,_Z,_Z,_Z,NCD,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Lesotho,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Non-communicable diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,52.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,55.0,55.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CIV,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Côte d’Ivoire,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,10.0,9.0,8.0,7.0,7.0,8.0,10.0,14.0,17.0,18.0,16.0,32.0,30.0,25.0,40.0,47.0,43.0,48.0,51.0,46.0,38.0,45.0,45.0,42.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,TUR,UHC_SCI,_Z,_Z,_Z,_Z,NCD,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Türkiye,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Non-communicable diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,50.0,51.0,51.0,51.0,52.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,GMB,UHC_SCI,_Z,_Z,_Z,_Z,_T,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,"Gambia, The",Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Full index,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,38.0,37.0,36.0,34.0,31.0,37.0,43.0,47.0,50.0,50.0,48.0,52.0,54.0,54.0,52.0,51.0,47.0,47.0,48.0,47.0,48.0,49.0,52.0,53.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ETH,UHC_SCI,_Z,_Z,_Z,_Z,_T,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Ethiopia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Full index,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,13.0,14.0,14.0,14.0,14.0,14.0,17.0,19.0,19.0,19.0,22.0,24.0,24.0,26.0,28.0,30.0,30.0,29.0,29.0,30.0,30.0,29.0,31.0,33.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,SSF,UHC_SCI,_Z,_Z,_Z,_Z,_T,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Sub-Saharan Africa,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Full index,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,28.0,27.0,27.0,27.0,28.0,30.0,33.0,35.0,36.0,37.0,39.0,42.0,42.0,43.0,44.0,45.0,46.0,47.0,47.0,47.0,47.0,48.0,49.0,50.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ROU,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Romania,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,74.0,74.0,74.0,74.0,74.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,90.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,WSM,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Samoa,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,60.0,60.0,57.0,60.0,56.0,49.0,50.0,50.0,51.0,49.0,47.0,49.0,48.0,52.0,53.0,53.0,54.0,55.0,57.0,60.0,57.0,54.0,54.0,53.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,EST,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Estonia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,MLI,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Mali,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,32.0,33.0,34.0,35.0,36.0,37.0,37.0,37.0,37.0,38.0,38.0,36.0,34.0,32.0,31.0,31.0,35.0,38.0,41.0,41.0,41.0,42.0,42.0,43.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,PAK,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Pakistan,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,52.0,53.0,53.0,54.0,54.0,54.0,53.0,53.0,53.0,54.0,54.0,56.0,56.0,57.0,58.0,59.0,61.0,62.0,63.0,63.0,63.0,64.0,64.0,64.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,GAB,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Gabon,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,12.0,11.0,11.0,11.0,12.0,20.0,33.0,42.0,38.0,31.0,32.0,34.0,35.0,35.0,34.0,32.0,33.0,33.0,31.0,31.0,30.0,28.0,25.0,24.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CRI,UHC_SCI,_Z,_Z,_Z,_Z,_T,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Costa Rica,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Full index,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,76.0,77.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,82.0,83.0,84.0,82.0,83.0,85.0,83.0,84.0,85.0,84.0,84.0,84.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,DZA,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Algeria,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,84.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,UKR,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Ukraine,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,68.0,69.0,69.0,70.0,72.0,72.0,73.0,73.0,74.0,73.0,73.0,74.0,76.0,76.0,72.0,73.0,72.0,76.0,77.0,78.0,78.0,78.0,78.0,78.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,BEL,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Belgium,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,94.0,93.0,94.0,94.0,94.0,94.0,93.0,94.0,93.0,88.0,86.0,91.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,LSO,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Lesotho,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,11.0,12.0,11.0,13.0,14.0,18.0,20.0,24.0,26.0,28.0,30.0,31.0,33.0,34.0,36.0,38.0,40.0,42.0,43.0,44.0,46.0,47.0,48.0,50.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,NZL,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,New Zealand,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,98.0,99.0,99.0,100.0,99.0,99.0,99.0,97.0,94.0,95.0,95.0,95.0,95.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,BLZ,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Belize,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,82.0,82.0,82.0,83.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,84.0,84.0,84.0,84.0,84.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CHE,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Switzerland,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,95.0,95.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,97.0,97.0,97.0
