STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,URBANIZATION,HH_MAC,IC_QUINTILE,FINANCIAL_HARDSHIP,INDEX_COMP,SPEND_LEVEL,UNIT_MEASURE,OBS_CONF,UNIT_TYPE,DATABASE_ID,DECIMALS,UNIT_MULT,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,URBANIZATION_LABEL,HH_MAC_LABEL,IC_QUINTILE_LABEL,FINANCIAL_HARDSHIP_LABEL,INDEX_COMP_LABEL,SPEND_LEVEL_LABEL,UNIT_MEASURE_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,DECIMALS_LABEL,UNIT_MULT_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,DMA,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Dominica,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,83.0,83.0,88.0,88.0,86.0,85.0,85.0,89.0,89.0,88.0,86.0,85.0,85.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,MAR,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Morocco,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,84.0,85.0,86.0,87.0,87.0,88.0,88.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,WSM,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Samoa,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,54.0,53.0,53.0,53.0,51.0,51.0,50.0,51.0,49.0,52.0,54.0,56.0,57.0,58.0,59.0,58.0,57.0,56.0,53.0,55.0,56.0,55.0,55.0,55.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,PLW,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Palau,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,63.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,66.0,64.0,66.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,GNQ,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Equatorial Guinea,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,25.0,31.0,31.0,31.0,32.0,32.0,32.0,34.0,37.0,43.0,48.0,48.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CAF,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Central African Republic,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,8.0,8.0,8.0,8.0,7.0,7.0,9.0,16.0,25.0,27.0,24.0,20.0,18.0,21.0,27.0,31.0,30.0,29.0,29.0,27.0,31.0,31.0,30.0,34.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,ZMB,UHC_SCI,_Z,_Z,_Z,_Z,CAPACITY,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Zambia,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Service capacity and access,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,45.0,45.0,45.0,45.0,45.0,44.0,43.0,44.0,44.0,44.0,44.0,45.0,48.0,51.0,52.0,50.0,49.0,48.0,43.0,55.0,57.0,59.0,68.0,67.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,KIR,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Kiribati,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,68.0,67.0,66.0,65.0,63.0,64.0,64.0,64.0,62.0,63.0,63.0,65.0,65.0,65.0,64.0,65.0,66.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,PNG,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Papua New Guinea,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,52.0,52.0,53.0,54.0,53.0,54.0,54.0,54.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0,54.0,53.0,54.0,54.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,CHL,UHC_SCI,_Z,_Z,_Z,_Z,NCD,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Chile,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Non-communicable diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,35.0,36.0,38.0,39.0,41.0,42.0,44.0,45.0,46.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,NPL,UHC_SCI,_Z,_Z,_Z,_Z,RMNCH,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Nepal,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,"Reproductive, maternal, newborn, and child health",Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,37.0,38.0,41.0,44.0,46.0,49.0,52.0,53.0,54.0,55.0,55.0,56.0,57.0,57.0,58.0,59.0,60.0,63.0,66.0,69.0,66.0,64.0,61.0,62.0
datastructure,WB.GGH.HNP:DS_UHC(1.1.0),I,A,PER,UHC_SCI,_Z,_Z,_Z,_Z,IDHS,_Z,0_TO_100,PU,IX,WB_UHC,1,0,A,Annual,Peru,Universal health coverage (UHC) service coverage index,Not applicable,Not applicable,Not applicable,Not applicable,Infectious diseases,Not applicable,0-100 scale,Normal value,Public,Index,Universal Health Coverage (UHC),One,Units,64.0,64.0,66.0,66.0,67.0,68.0,69.0,69.0,70.0,71.0,71.0,72.0,72.0,73.0,73.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0
