REF_AREA_LABEL,INDEX_COMP_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Maldives,Full index,Universal health coverage (UHC) service coverage index,52.0,54.0,56.0,58.0,59.0,62.0,64.0,65.0,66.0,67.0,67.0,66.0,67.0,68.0,68.0,68.0,66.0,68.0,67.0,68.0,68.0,68.0,69.0,71.0
Djibouti,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,37.0,39.0,41.0,43.0,44.0,46.0,47.0,51.0,54.0,57.0,59.0,61.0,63.0,63.0,63.0,64.0,63.0,64.0,65.0,65.0,65.0,64.0,64.0,66.0
Ecuador,Non-communicable diseases,Universal health coverage (UHC) service coverage index,71.0,72.0,72.0,72.0,73.0,73.0,73.0,74.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,74.0,74.0,74.0,74.0
Togo,Non-communicable diseases,Universal health coverage (UHC) service coverage index,56.0,57.0,58.0,59.0,60.0,60.0,61.0,62.0,63.0,63.0,64.0,65.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,70.0
Senegal,Service capacity and access,Universal health coverage (UHC) service coverage index,19.0,19.0,19.0,19.0,19.0,19.0,20.0,21.0,21.0,21.0,20.0,20.0,19.0,19.0,19.0,19.0,22.0,22.0,25.0,28.0,26.0,29.0,27.0,26.0
"Micronesia, Fed. Sts.",Infectious diseases,Universal health coverage (UHC) service coverage index,25.0,29.0,33.0,37.0,41.0,45.0,49.0,54.0,58.0,62.0,66.0,70.0,74.0,78.0,82.0,86.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
El Salvador,Infectious diseases,Universal health coverage (UHC) service coverage index,80.0,80.0,80.0,80.0,81.0,81.0,82.0,82.0,83.0,83.0,83.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,88.0
Türkiye,Full index,Universal health coverage (UHC) service coverage index,64.0,65.0,65.0,66.0,66.0,67.0,68.0,69.0,69.0,70.0,71.0,72.0,74.0,74.0,74.0,75.0,75.0,76.0,75.0,76.0,77.0,77.0,77.0,77.0
Mexico,Infectious diseases,Universal health coverage (UHC) service coverage index,79.0,80.0,80.0,81.0,82.0,82.0,83.0,84.0,84.0,85.0,86.0,86.0,87.0,87.0,88.0,89.0,89.0,90.0,90.0,91.0,91.0,92.0,93.0,93.0
"Yemen, Rep.",Service capacity and access,Universal health coverage (UHC) service coverage index,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,28.0,29.0,27.0,27.0,26.0,27.0,25.0,23.0,25.0,25.0,20.0
Moldova,Service capacity and access,Universal health coverage (UHC) service coverage index,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,91.0,90.0,91.0,92.0,92.0,93.0,89.0,84.0,84.0,85.0,84.0,85.0,85.0
Italy,Full index,Universal health coverage (UHC) service coverage index,74.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,82.0,82.0,82.0
Jordan,Full index,Universal health coverage (UHC) service coverage index,75.0,75.0,75.0,75.0,75.0,75.0,76.0,75.0,75.0,76.0,76.0,77.0,77.0,76.0,76.0,75.0,73.0,72.0,69.0,69.0,70.0,71.0,73.0,74.0
Kyrgyz Republic,Non-communicable diseases,Universal health coverage (UHC) service coverage index,47.0,47.0,48.0,49.0,50.0,51.0,51.0,52.0,53.0,53.0,54.0,54.0,55.0,55.0,56.0,56.0,56.0,57.0,57.0,57.0,58.0,58.0,58.0,59.0
Kuwait,Service capacity and access,Universal health coverage (UHC) service coverage index,86.0,86.0,86.0,85.0,85.0,84.0,84.0,86.0,86.0,86.0,86.0,90.0,92.0,95.0,95.0,95.0,95.0,95.0,82.0,91.0,94.0,94.0,97.0,98.0
South Sudan,Service capacity and access,Universal health coverage (UHC) service coverage index,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,28.0,27.0,25.0,26.0,28.0,30.0,34.0,30.0,31.0
Russian Federation,Infectious diseases,Universal health coverage (UHC) service coverage index,81.0,81.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,83.0,83.0,84.0,84.0,85.0,85.0,86.0,87.0,87.0,88.0,89.0,89.0,90.0,90.0,91.0
Singapore,Service capacity and access,Universal health coverage (UHC) service coverage index,97.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,97.0,97.0,98.0,98.0,98.0
Hungary,Service capacity and access,Universal health coverage (UHC) service coverage index,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,95.0,93.0,99.0,94.0,95.0,95.0,94.0,88.0,88.0,87.0,89.0,89.0,89.0
Australia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,60.0,61.0,62.0,63.0,65.0,66.0,66.0,67.0,68.0,69.0,69.0,70.0,70.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,74.0,74.0
"Congo, Rep.",Non-communicable diseases,Universal health coverage (UHC) service coverage index,58.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,59.0,59.0,59.0,58.0
Palau,Infectious diseases,Universal health coverage (UHC) service coverage index,92.0,92.0,92.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0
