REF_AREA_LABEL,INDEX_COMP_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ukraine,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,68.0,69.0,69.0,70.0,72.0,72.0,73.0,73.0,74.0,73.0,73.0,74.0,76.0,76.0,72.0,73.0,72.0,76.0,77.0,78.0,78.0,78.0,78.0,78.0
Belgium,Service capacity and access,Universal health coverage (UHC) service coverage index,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,94.0,93.0,94.0,94.0,94.0,94.0,93.0,94.0,93.0,88.0,86.0,91.0
Lesotho,Infectious diseases,Universal health coverage (UHC) service coverage index,11.0,12.0,11.0,13.0,14.0,18.0,20.0,24.0,26.0,28.0,30.0,31.0,33.0,34.0,36.0,38.0,40.0,42.0,43.0,44.0,46.0,47.0,48.0,50.0
New Zealand,Service capacity and access,Universal health coverage (UHC) service coverage index,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,98.0,99.0,99.0,100.0,99.0,99.0,99.0,97.0,94.0,95.0,95.0,95.0,95.0
Belize,Infectious diseases,Universal health coverage (UHC) service coverage index,82.0,82.0,82.0,83.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,84.0,84.0,84.0,84.0,84.0
Switzerland,Service capacity and access,Universal health coverage (UHC) service coverage index,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,95.0,95.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,97.0,97.0,97.0
Niue,Infectious diseases,Universal health coverage (UHC) service coverage index,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Argentina,Full index,Universal health coverage (UHC) service coverage index,74.0,74.0,75.0,76.0,76.0,77.0,77.0,77.0,78.0,78.0,78.0,78.0,79.0,80.0,80.0,81.0,81.0,80.0,79.0,79.0,79.0,80.0,80.0,80.0
Ireland,Non-communicable diseases,Universal health coverage (UHC) service coverage index,43.0,45.0,46.0,47.0,49.0,50.0,51.0,53.0,54.0,55.0,56.0,56.0,57.0,58.0,59.0,60.0,60.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0
Vietnam,Service capacity and access,Universal health coverage (UHC) service coverage index,50.0,50.0,51.0,52.0,53.0,54.0,55.0,57.0,59.0,60.0,62.0,62.0,63.0,66.0,71.0,72.0,72.0,71.0,62.0,64.0,65.0,65.0,60.0,61.0
Belize,Service capacity and access,Universal health coverage (UHC) service coverage index,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,48.0,48.0,51.0,53.0,55.0,52.0,52.0,48.0,47.0,51.0,53.0,54.0,54.0
Nigeria,Non-communicable diseases,Universal health coverage (UHC) service coverage index,62.0,63.0,63.0,64.0,65.0,66.0,67.0,67.0,68.0,69.0,70.0,70.0,71.0,72.0,73.0,73.0,74.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0
Panama,Infectious diseases,Universal health coverage (UHC) service coverage index,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,80.0,81.0,82.0,83.0,84.0,85.0,87.0,88.0
Mauritius,Service capacity and access,Universal health coverage (UHC) service coverage index,67.0,67.0,67.0,67.0,76.0,74.0,72.0,70.0,70.0,71.0,71.0,73.0,73.0,75.0,83.0,83.0,85.0,87.0,84.0,86.0,86.0,80.0,77.0,72.0
Norway,Non-communicable diseases,Universal health coverage (UHC) service coverage index,34.0,37.0,39.0,42.0,44.0,47.0,49.0,51.0,53.0,55.0,57.0,58.0,60.0,61.0,62.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,71.0
Niue,Full index,Universal health coverage (UHC) service coverage index,60.0,60.0,60.0,60.0,60.0,60.0,61.0,62.0,64.0,65.0,65.0,66.0,66.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,67.0
Chile,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,78.0,79.0,79.0,80.0,80.0,80.0,81.0,82.0,82.0,83.0,83.0,84.0,84.0,84.0,85.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0
Georgia,Full index,Universal health coverage (UHC) service coverage index,63.0,64.0,64.0,64.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,69.0,69.0,69.0,70.0,71.0,71.0
Bulgaria,Infectious diseases,Universal health coverage (UHC) service coverage index,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0
Guinea-Bissau,Service capacity and access,Universal health coverage (UHC) service coverage index,31.0,31.0,31.0,31.0,31.0,31.0,30.0,29.0,28.0,29.0,28.0,27.0,28.0,28.0,28.0,32.0,31.0,32.0,29.0,27.0,31.0,38.0,36.0,37.0
Belarus,Infectious diseases,Universal health coverage (UHC) service coverage index,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,100.0,100.0,100.0
Burundi,Full index,Universal health coverage (UHC) service coverage index,24.0,25.0,25.0,24.0,23.0,24.0,31.0,37.0,38.0,39.0,40.0,42.0,47.0,45.0,50.0,49.0,47.0,46.0,46.0,49.0,48.0,45.0,48.0,48.0
Romania,Full index,Universal health coverage (UHC) service coverage index,63.0,64.0,65.0,65.0,66.0,67.0,67.0,68.0,69.0,70.0,70.0,71.0,72.0,72.0,74.0,74.0,75.0,75.0,76.0,76.0,76.0,76.0,77.0,77.0
Comoros,Service capacity and access,Universal health coverage (UHC) service coverage index,39.0,39.0,39.0,39.0,39.0,33.0,34.0,35.0,35.0,36.0,37.0,38.0,38.0,40.0,42.0,44.0,46.0,47.0,38.0,44.0,52.0,52.0,52.0,53.0
Central African Republic,Full index,Universal health coverage (UHC) service coverage index,23.0,23.0,23.0,23.0,23.0,23.0,24.0,27.0,30.0,31.0,30.0,29.0,28.0,28.0,31.0,32.0,32.0,32.0,31.0,31.0,34.0,33.0,36.0,39.0
Cyprus,Full index,Universal health coverage (UHC) service coverage index,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,70.0,70.0,72.0,73.0,74.0,74.0,75.0,77.0,77.0,76.0,76.0,75.0,75.0,76.0,76.0
Tuvalu,Service capacity and access,Universal health coverage (UHC) service coverage index,89.0,89.0,89.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,94.0,89.0,87.0,90.0,85.0,79.0,80.0,78.0,75.0,81.0,81.0,81.0
Sierra Leone,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,41.0,40.0,42.0,44.0,43.0,43.0,43.0,43.0,45.0,54.0,61.0,63.0,64.0,65.0,65.0,66.0,66.0,67.0,68.0,69.0,69.0,70.0,70.0,70.0
Indonesia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,38.0,38.0,39.0,39.0,40.0,40.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Seychelles,Infectious diseases,Universal health coverage (UHC) service coverage index,88.0,88.0,84.0,88.0,90.0,92.0,93.0,94.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0
Mongolia,Infectious diseases,Universal health coverage (UHC) service coverage index,43.0,44.0,44.0,45.0,47.0,48.0,50.0,51.0,53.0,54.0,56.0,57.0,58.0,59.0,61.0,62.0,63.0,65.0,66.0,67.0,69.0,70.0,71.0,72.0
Netherlands,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Eswatini,Infectious diseases,Universal health coverage (UHC) service coverage index,27.0,31.0,33.0,34.0,36.0,39.0,42.0,44.0,46.0,48.0,51.0,52.0,54.0,55.0,57.0,60.0,62.0,62.0,63.0,64.0,66.0,66.0,67.0,68.0
France,Service capacity and access,Universal health coverage (UHC) service coverage index,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,92.0,93.0,95.0,95.0,96.0,96.0,96.0,94.0,94.0,94.0,95.0,95.0,95.0
St. Kitts and Nevis,Service capacity and access,Universal health coverage (UHC) service coverage index,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,84.0,82.0,80.0,78.0,80.0,80.0,87.0,89.0,88.0
Equatorial Guinea,Infectious diseases,Universal health coverage (UHC) service coverage index,15.0,14.0,13.0,13.0,13.0,15.0,20.0,42.0,51.0,53.0,51.0,47.0,40.0,35.0,34.0,42.0,47.0,47.0,50.0,51.0,51.0,45.0,36.0,36.0
Seychelles,Service capacity and access,Universal health coverage (UHC) service coverage index,56.0,56.0,56.0,56.0,56.0,55.0,55.0,55.0,54.0,55.0,54.0,70.0,71.0,81.0,91.0,94.0,96.0,95.0,78.0,80.0,82.0,78.0,80.0,82.0
Colombia,Full index,Universal health coverage (UHC) service coverage index,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,73.0,74.0,75.0,73.0,76.0,77.0,78.0,80.0,81.0,82.0,80.0,81.0,82.0,82.0,83.0,82.0
Liberia,Full index,Universal health coverage (UHC) service coverage index,26.0,25.0,25.0,25.0,25.0,25.0,26.0,27.0,29.0,38.0,38.0,36.0,38.0,37.0,36.0,42.0,42.0,41.0,46.0,46.0,43.0,48.0,50.0,49.0
Lesotho,Service capacity and access,Universal health coverage (UHC) service coverage index,31.0,31.0,31.0,31.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,40.0,46.0,52.0,56.0,60.0,64.0,62.0,52.0,46.0,51.0,47.0,46.0,46.0
Andorra,Service capacity and access,Universal health coverage (UHC) service coverage index,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,66.0,68.0,58.0,66.0,65.0,66.0,66.0,72.0,74.0,74.0,74.0,74.0,74.0
Saudi Arabia,Service capacity and access,Universal health coverage (UHC) service coverage index,78.0,80.0,83.0,86.0,89.0,91.0,94.0,96.0,97.0,97.0,97.0,99.0,98.0,100.0,100.0,99.0,99.0,100.0,88.0,91.0,92.0,97.0,98.0,98.0
Togo,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,32.0,31.0,32.0,32.0,32.0,32.0,32.0,34.0,35.0,37.0,39.0,41.0,44.0,46.0,48.0,47.0,46.0,44.0,45.0,45.0,45.0,46.0,46.0,47.0
Bahrain,Non-communicable diseases,Universal health coverage (UHC) service coverage index,59.0,59.0,60.0,61.0,62.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
Uganda,Infectious diseases,Universal health coverage (UHC) service coverage index,6.0,6.0,6.0,6.0,7.0,8.0,10.0,15.0,18.0,18.0,23.0,18.0,17.0,32.0,38.0,36.0,35.0,41.0,40.0,34.0,39.0,39.0,34.0,42.0
Norway,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,88.0,88.0,88.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0
Belize,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,71.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0,73.0,74.0,75.0,76.0,75.0,74.0,73.0,72.0,71.0,71.0,72.0,72.0,71.0,71.0,72.0,72.0
Guinea,Full index,Universal health coverage (UHC) service coverage index,19.0,19.0,19.0,18.0,17.0,18.0,21.0,23.0,24.0,25.0,26.0,26.0,30.0,36.0,37.0,34.0,32.0,37.0,38.0,43.0,43.0,41.0,43.0,43.0
United States,Non-communicable diseases,Universal health coverage (UHC) service coverage index,49.0,50.0,52.0,54.0,56.0,57.0,59.0,60.0,61.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,69.0,70.0,71.0,71.0,72.0,73.0,73.0,74.0
St. Vincent and the Grenadines,Non-communicable diseases,Universal health coverage (UHC) service coverage index,64.0,64.0,65.0,66.0,66.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0
Jordan,Non-communicable diseases,Universal health coverage (UHC) service coverage index,51.0,51.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
St. Vincent and the Grenadines,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,77.0,77.0,78.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,81.0,81.0
Canada,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,91.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Argentina,Non-communicable diseases,Universal health coverage (UHC) service coverage index,48.0,48.0,49.0,50.0,51.0,51.0,52.0,53.0,53.0,54.0,54.0,55.0,55.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0
Angola,Service capacity and access,Universal health coverage (UHC) service coverage index,31.0,31.0,31.0,31.0,31.0,32.0,33.0,33.0,34.0,35.0,34.0,33.0,32.0,31.0,23.0,29.0,32.0,33.0,29.0,35.0,40.0,36.0,44.0,44.0
Afghanistan,Service capacity and access,Universal health coverage (UHC) service coverage index,25.0,25.0,25.0,25.0,25.0,24.0,23.0,24.0,24.0,25.0,24.0,19.0,19.0,20.0,21.0,19.0,20.0,19.0,21.0,22.0,22.0,22.0,22.0,22.0
Maldives,Infectious diseases,Universal health coverage (UHC) service coverage index,76.0,77.0,78.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,99.0
Albania,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,34.0,33.0,32.0,31.0,30.0,29.0,30.0,30.0,29.0,30.0,31.0,33.0,34.0,36.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,44.0,45.0,46.0
Timor-Leste,Service capacity and access,Universal health coverage (UHC) service coverage index,34.0,34.0,34.0,34.0,34.0,32.0,31.0,29.0,29.0,30.0,30.0,29.0,30.0,31.0,37.0,37.0,39.0,41.0,34.0,33.0,34.0,38.0,39.0,39.0
Malta,Non-communicable diseases,Universal health coverage (UHC) service coverage index,52.0,53.0,54.0,55.0,55.0,56.0,57.0,58.0,58.0,59.0,59.0,60.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,64.0,64.0,64.0,65.0,65.0
Spain,Full index,Universal health coverage (UHC) service coverage index,74.0,75.0,75.0,75.0,76.0,76.0,76.0,77.0,77.0,77.0,78.0,81.0,83.0,79.0,84.0,83.0,84.0,84.0,83.0,84.0,84.0,84.0,84.0,84.0
Nigeria,Full index,Universal health coverage (UHC) service coverage index,30.0,28.0,25.0,24.0,27.0,29.0,30.0,30.0,30.0,35.0,39.0,40.0,39.0,38.0,41.0,43.0,44.0,42.0,46.0,47.0,45.0,47.0,47.0,47.0
Panama,Full index,Universal health coverage (UHC) service coverage index,70.0,70.0,71.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,76.0,78.0,78.0,78.0,78.0,79.0,80.0,80.0,81.0,82.0,83.0,82.0,82.0
Togo,Full index,Universal health coverage (UHC) service coverage index,21.0,20.0,18.0,18.0,23.0,25.0,25.0,24.0,27.0,28.0,28.0,33.0,36.0,37.0,38.0,37.0,36.0,40.0,39.0,40.0,38.0,38.0,39.0,42.0
Belarus,Service capacity and access,Universal health coverage (UHC) service coverage index,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,94.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,98.0,98.0,99.0
Indonesia,Infectious diseases,Universal health coverage (UHC) service coverage index,41.0,43.0,45.0,47.0,49.0,51.0,53.0,55.0,57.0,59.0,61.0,63.0,65.0,67.0,69.0,71.0,74.0,76.0,78.0,80.0,82.0,84.0,85.0,87.0
Mali,Infectious diseases,Universal health coverage (UHC) service coverage index,9.0,7.0,7.0,7.0,9.0,12.0,21.0,29.0,33.0,34.0,38.0,43.0,43.0,43.0,46.0,46.0,47.0,48.0,52.0,54.0,56.0,54.0,50.0,56.0
Panama,Non-communicable diseases,Universal health coverage (UHC) service coverage index,69.0,70.0,71.0,72.0,72.0,73.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0
São Tomé and Príncipe,Service capacity and access,Universal health coverage (UHC) service coverage index,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,44.0,41.0,41.0,41.0,40.0,40.0,54.0,52.0,52.0,54.0,55.0,55.0
Syrian Arab Republic,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,63.0,63.0,63.0,65.0,66.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,67.0,67.0,67.0,67.0,67.0,68.0,67.0,68.0,67.0,67.0,67.0,68.0
Morocco,Service capacity and access,Universal health coverage (UHC) service coverage index,45.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,49.0,51.0,51.0,51.0,51.0,46.0,46.0,46.0,44.0,44.0,43.0
Sweden,Non-communicable diseases,Universal health coverage (UHC) service coverage index,29.0,31.0,34.0,36.0,38.0,40.0,41.0,43.0,45.0,46.0,48.0,49.0,51.0,52.0,53.0,54.0,56.0,57.0,58.0,59.0,60.0,60.0,61.0,62.0
Uganda,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,52.0,53.0,54.0,55.0,56.0,56.0,57.0,58.0,59.0,61.0,62.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,66.0,66.0,67.0,68.0,69.0,69.0
Tanzania,Infectious diseases,Universal health coverage (UHC) service coverage index,3.0,3.0,4.0,5.0,7.0,9.0,12.0,15.0,16.0,23.0,29.0,35.0,35.0,30.0,22.0,32.0,39.0,40.0,38.0,38.0,41.0,42.0,43.0,43.0
Lithuania,Non-communicable diseases,Universal health coverage (UHC) service coverage index,35.0,36.0,37.0,38.0,39.0,39.0,40.0,41.0,42.0,43.0,43.0,44.0,45.0,45.0,46.0,46.0,47.0,48.0,48.0,49.0,49.0,50.0,50.0,51.0
Bahrain,Service capacity and access,Universal health coverage (UHC) service coverage index,76.0,77.0,76.0,75.0,74.0,74.0,74.0,74.0,73.0,73.0,72.0,76.0,80.0,80.0,81.0,82.0,80.0,76.0,75.0,71.0,77.0,77.0,78.0,79.0
Portugal,Full index,Universal health coverage (UHC) service coverage index,81.0,81.0,81.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,84.0,84.0,84.0,84.0,84.0,83.0,83.0,83.0,83.0,84.0,83.0
Central African Republic,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,30.0,31.0,31.0,32.0,32.0,33.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,31.0,34.0,34.0,35.0,35.0,36.0,36.0,36.0,37.0,37.0,37.0
Ukraine,Non-communicable diseases,Universal health coverage (UHC) service coverage index,39.0,40.0,41.0,42.0,43.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,52.0,53.0,54.0,55.0,55.0,56.0,57.0,57.0,58.0,58.0,59.0
Cabo Verde,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,64.0,64.0,64.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,68.0,69.0,69.0,70.0
Niue,Service capacity and access,Universal health coverage (UHC) service coverage index,57.0,57.0,57.0,57.0,57.0,57.0,57.0,62.0,66.0,70.0,74.0,74.0,74.0,81.0,85.0,86.0,87.0,88.0,89.0,88.0,88.0,88.0,88.0,79.0
"Korea, Rep.",Non-communicable diseases,Universal health coverage (UHC) service coverage index,48.0,49.0,50.0,52.0,53.0,55.0,56.0,57.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,68.0,69.0,70.0,70.0,71.0,72.0
Guatemala,Service capacity and access,Universal health coverage (UHC) service coverage index,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,43.0,37.0,40.0,33.0,33.0,35.0,39.0,44.0,40.0,39.0,36.0
Ecuador,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,70.0,70.0,71.0,71.0,72.0,73.0,74.0,74.0,75.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,78.0,77.0,77.0,77.0,77.0
"Gambia, The",Non-communicable diseases,Universal health coverage (UHC) service coverage index,53.0,54.0,55.0,56.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0,62.0,62.0,63.0,63.0,64.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,67.0
Guyana,Non-communicable diseases,Universal health coverage (UHC) service coverage index,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,64.0,65.0,65.0,66.0,67.0,67.0,67.0,68.0,68.0,69.0,69.0,69.0,69.0
Cambodia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,42.0,43.0,45.0,46.0,48.0,49.0,51.0,52.0,53.0,55.0,56.0,57.0,58.0,58.0,59.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0
Luxembourg,Non-communicable diseases,Universal health coverage (UHC) service coverage index,51.0,52.0,53.0,53.0,54.0,55.0,55.0,56.0,56.0,57.0,58.0,58.0,59.0,59.0,60.0,60.0,61.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0
Kiribati,Infectious diseases,Universal health coverage (UHC) service coverage index,29.0,31.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,39.0,40.0,41.0,41.0,42.0,43.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0
St. Vincent and the Grenadines,Infectious diseases,Universal health coverage (UHC) service coverage index,66.0,67.0,69.0,71.0,73.0,74.0,76.0,78.0,79.0,81.0,83.0,84.0,86.0,88.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0
Solomon Islands,Infectious diseases,Universal health coverage (UHC) service coverage index,22.0,22.0,22.0,22.0,23.0,23.0,24.0,25.0,25.0,26.0,27.0,27.0,28.0,29.0,29.0,30.0,31.0,31.0,32.0,33.0,33.0,34.0,34.0,34.0
Australia,Full index,Universal health coverage (UHC) service coverage index,84.0,85.0,85.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0
Senegal,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,29.0,32.0,34.0,37.0,41.0,43.0,44.0,45.0,46.0,46.0,47.0,48.0,49.0,51.0,47.0,52.0,53.0,56.0,53.0,54.0,55.0,55.0,56.0,55.0
Niue,Non-communicable diseases,Universal health coverage (UHC) service coverage index,41.0,41.0,42.0,43.0,43.0,44.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0
Lebanon,Service capacity and access,Universal health coverage (UHC) service coverage index,69.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,71.0,71.0,72.0,72.0,73.0,77.0,78.0,78.0,79.0,82.0,75.0,82.0,81.0,80.0,82.0,81.0
Palau,Non-communicable diseases,Universal health coverage (UHC) service coverage index,46.0,46.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0,50.0,50.0,51.0,51.0,52.0,52.0,53.0,53.0,53.0,54.0,54.0,55.0,55.0,55.0,55.0
Comoros,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,47.0,47.0,48.0,46.0,45.0,44.0,43.0,43.0,42.0,42.0,41.0,40.0,40.0,40.0,39.0,39.0,39.0,39.0,38.0,38.0,38.0,38.0,38.0,38.0
South Africa,Service capacity and access,Universal health coverage (UHC) service coverage index,54.0,53.0,53.0,54.0,54.0,54.0,55.0,55.0,55.0,56.0,57.0,62.0,61.0,62.0,69.0,69.0,69.0,68.0,60.0,60.0,62.0,80.0,90.0,86.0
Zimbabwe,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,46.0,46.0,46.0,46.0,46.0,46.0,46.0,51.0,55.0,59.0,62.0,64.0,67.0,69.0,71.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
India,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,64.0,64.0,64.0,65.0,66.0,67.0,67.0,68.0,70.0,71.0,72.0,73.0,71.0,72.0,73.0,73.0,74.0,73.0,72.0,71.0,70.0,69.0,69.0,70.0
Burkina Faso,Service capacity and access,Universal health coverage (UHC) service coverage index,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,14.0,15.0,16.0,15.0,17.0,18.0,17.0,18.0,18.0,20.0,17.0,20.0,21.0,22.0,24.0,23.0
Russian Federation,Service capacity and access,Universal health coverage (UHC) service coverage index,95.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,97.0,95.0,93.0,93.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Qatar,Service capacity and access,Universal health coverage (UHC) service coverage index,88.0,88.0,88.0,88.0,88.0,88.0,88.0,86.0,82.0,79.0,78.0,83.0,85.0,84.0,83.0,80.0,78.0,74.0,79.0,84.0,85.0,87.0,87.0,87.0
Maldives,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,38.0,39.0,44.0,48.0,51.0,53.0,55.0,56.0,58.0,59.0,58.0,57.0,57.0,56.0,55.0,54.0,53.0,52.0,51.0,51.0,51.0,51.0,52.0,52.0
Grenada,Infectious diseases,Universal health coverage (UHC) service coverage index,87.0,88.0,89.0,89.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0
Belarus,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,71.0,72.0,73.0,72.0,74.0,75.0,75.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,78.0,78.0,78.0,78.0,78.0
