REF_AREA_LABEL,FINANCIAL_HARDSHIP_LABEL,URBANIZATION_LABEL,IC_QUINTILE_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,86.53,,,,,87.57,,,,,,,,,,,93.83,,,,,
India,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,7.12,6.62,,8.51,6.4,,7.43,6.88,,6.58,,7.98,,,,,,,,,,,8.67,
Italy,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,1.6,,,,,,,,,1.27,,,,,,,,,,,,,
Sri Lanka,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,6.66,4.62,,,4.02,,,3.6,,,,3.07,,,2.03,,,,
Kazakhstan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,28.94,27.12,25.83,25.4,15.94,14.89,15.13,13.28,14.94,13.88,11.55,12.68,11.23,11.65,11.2,9.66,,9.77,,,,,
Uzbekistan,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,33.72,,26.02,26.62,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,6.83,,,,,,,,,,,
Djibouti,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,23.28,,,,,,,,,,4.33,,,,,6.42,,,,,,
Slovak Republic,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,29.51,17.57,27.12,29.97,24.65,,,,,,,,,,,,,,
Sierra Leone,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,69.02,,,,,,,,58.53,,,,,,,61.37,,,,,
Kenya,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,34.69,,,,,,,,,,26.38,,,,,,,,
Morocco,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,47.89,,,,,,93.55,,,,,,,77.2,,,,,,,,,,
Vietnam,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,44.15,,37.16,,34.8,,30.49,,25.81,,25.0,,23.27,,21.32,,21.48,,19.47,,,
United Kingdom,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,0.19,,,,,0.39,,,0.46,0.8,0.2,0.88,0.73,0.45,0.71,1.04,0.63,0.29,0.88,0.7,0.87,1.0,,
Vietnam,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,95.94,,95.07,,92.3,,97.3,,90.31,,88.01,,95.01,,92.08,,94.42,,93.13,,,
Central African Republic,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,47.68,,,,,,,,,,,,,68.17,,
Timor-Leste,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,1.66,,,,,,,0.5,,,,,,,,,
Malawi,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,73.82,,,,,,50.16,,,71.8,,,58.94,,,59.34,,,,
Nepal,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,2.91,,,,,,,,,,2.81,2.44,2.53,2.48,,,,,,2.51,
Tonga,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,
Jordan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,20.05,,,,,,14.98,,14.7,,,,,,,,,,,,,
Ireland,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,2.0,,,,,,,,,,,,,,
Gabon,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,31.89,,,,,,,,,,,,26.31,,,,,,
São Tomé and Príncipe,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,30.73,,,,,,,36.12,,,,,,
South Sudan,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,14.24,,,,,,,,,,,,,,
Ireland,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,1.76,,,,,,,,,,,,,,
Germany,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,4.74,,,,,,,,,,,,,
Bulgaria,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,7.07,,8.91,5.74,8.15
Slovak Republic,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,1.16,1.01,0.76,0.84,1.15,1.05,1.1,0.89,,,1.15,,,,,1.02,0.99,0.84,
Afghanistan,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,23.56,,,,,,92.47,,,57.72,,,,58.8,,,
Latvia,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,47.0,40.37,48.71,44.89,41.27,34.84,37.94,33.09,28.28,39.55,34.0,38.33,41.12,43.34,43.17,,,53.7,,,,
Denmark,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,0.27,,,,,,,,,,,,,
Tanzania,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,2.9,,,,,,,2.31,,3.62,,,
Nigeria,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,26.23,,,,,,28.36,32.13,,33.42,,,46.34,,,41.57,,,,38.99,
Estonia,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,7.92,,,8.41,8.77,7.63,,,,,,5.81,,,,,,,,,,,,
Marshall Islands,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,13.04,,,,
Burundi,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,33.34,,,,,,,27.0,,,,,,,,,,
Cook Islands,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,5.3,,,,,,,,
Sierra Leone,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,62.01,,,,,,,,,,,,,,,43.17,,,,,
South Africa,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,33.14,,,18.89,,,,,,23.35,,,,,,,,,
Maldives,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,25.96,,,,,,,,,,,,,,,17.64,,,,
Moldova,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,15.26,19.93,23.72,21.23,21.74,24.69,30.0,24.65,21.94,24.4,23.28,18.87,19.11,16.09,12.02,15.36,13.12,15.28,11.7,9.46,6.86,10.65,8.69,8.48
Peru,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,3.71,,,,,,1.27,1.5,1.53,1.05,1.58,1.12,1.32,0.96,1.1,0.94,0.84,0.96,1.23,1.46,1.62,2.09,3.77,
Mozambique,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,2.02,,,,,,0.42,,,,,,0.99,,,,,1.75,,,,
China,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,47.12,,,,,38.31,,,,,,,,,,,33.55,,,,,
Nigeria,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,31.67,,,,,,31.79,36.09,,37.81,,,50.34,,,43.78,,,,42.2,
Belize,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,17.08,,,,,
St. Lucia,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,2.8,,,,,,,
St. Kitts and Nevis,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,38.63,,,,,,,,,,,,,,,,
Maldives,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,1.02,,,,,3.32,,,,,,,1.35,,,,,,,
Tokelau (NZ),Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.0,,,,,,,,
Samoa,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,11.74,,,,,
Kiribati,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,0.76,,,,,,,,,,,,,2.09,,,,
Paraguay,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,26.85,,,,,,,,,,,27.63,,20.45,19.89,,,,,,,,,21.08
Kyrgyz Republic,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,9.9,6.91,,,,4.12,3.9,,8.09,6.56,3.43,5.96,3.07,4.22,4.24,9.48,6.71,,,8.48,,7.57,5.86,
Latvia,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,17.92,20.09,19.16,16.88,14.35,14.77,14.89,16.67,15.33,20.57,16.4,18.65,17.25,20.24,17.97,,,23.98,,,,
Brazil,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,62.54,,,,,,,,,35.99,,,,,,
Uganda,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,49.67,,,53.35,,,,45.07,,,42.24,,,,38.37,,,36.15,,,,
Syrian Arab Republic,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,19.83,,,,16.02,,,,,,,,,,,,,,,,
Kyrgyz Republic,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,1.87,1.43,1.32,0.84,6.28,0.23,2.41,1.19,0.92,0.56,0.33,1.93,1.06,1.27,1.79,3.23,1.52,,,2.12,1.99,1.88,1.5,
Zambia,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,5.28,,20.94,,,,23.83,,,,,3.91,,,,,,,,
Morocco,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,2.27,,,,,,4.21,,,,,,,5.1,,,,,,,,,,
Costa Rica,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,18.19,,,,,
Hungary,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,12.59,15.93,16.02,21.25,22.89,22.3,20.14,21.81,,,,,,,,,,,,,,,,
Morocco,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,32.32,,,,,,48.56,,,,,,,38.86,,,,,,,,,,
Cambodia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,33.66,31.56,23.98,,,19.44,,,,,21.6,,19.03,,22.05
Ireland,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,0.62,,,,,,,,,,,,,,
Guatemala,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,0.46,,,,,,,,,,,4.34,,,5.41,,,,,,,,,1.96
Timor-Leste,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,0.89,,,,,,,1.18,,,,,,,,,
Austria,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,14.85,,,,,,,
Zambia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,22.4,,,,12.98,,,,,,,,,,,,,
Chile,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,9.98,,
Ecuador,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,30.36,,,,,,,,,,
Namibia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,40.38,,,,,,26.96,,,,,,,,
Guinea-Bissau,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,2.53,,,,,,,,1.71,,,,,,,,2.91,,,4.06,,
Peru,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,6.35,,,,,,2.04,2.2,2.17,2.8,1.84,1.72,2.14,1.93,1.38,1.97,1.47,1.64,2.5,1.64,2.19,3.53,5.54,
Spain,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,6.88,6.57,6.75,7.24,7.4,7.16,6.94,7.22,7.03,7.21,7.17,7.57,7.51,8.5,7.4,7.84,8.04,7.91
Portugal,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,21.22,,,,,16.53,,,,,16.19,,,,,12.75,,,,,,,4.99,
Tunisia,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,55.04,,,,,66.07,,,,,75.6,,,,,74.48,,,,,,67.34,,
West Bank and Gaza,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,2.76,1.69,1.58,2.29,,2.4,1.29,2.08,,,,,3.32,,,,,,,3.09
Comoros,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,1.49,,,,,,,,,
Vanuatu,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,31.44,,,,
Honduras,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,0.25,,,,,,,,,,,,,,,,,,,
Sudan,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,21.86,,,,,29.34,,,,,,,,,
St. Kitts and Nevis,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,1.44,,,,,,,,,,,,,,,,
Jamaica,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,25.88,27.08,,,,20.05,21.68,18.98,,14.93,18.41,19.89,19.16,19.85,17.79,14.63,16.34,,23.67,,
Botswana,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,18.36,,,,,,21.38,,,,,,,,
Niger,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,20.94,,,,,,,,,,,,,,,,,,
China,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,47.91,,,,,,,,,,,,,,,,,,,,,
Russian Federation,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,0.58,0.25,2.28,0.29,0.08,,,,,,0.7,0.73,,1.11,0.86,,,,,,,,,
Georgia,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,28.11,24.4,21.08,20.95,22.99,27.88,26.64,26.01,30.34,29.87,30.27,27.71,25.45,26.42,28.41,28.46,29.03,29.04,28.24,28.67,28.78,29.15,25.19
Pakistan,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,0.78,,,0.1,,,0.13,,,0.99,1.18,,1.41,,1.47,,,2.0,,,,,
Albania,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,10.69,,,8.04,,,6.71,,,,8.15,,,,,3.89,,,,,,
Slovenia,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,5.71,5.54,5.19,4.74,4.88,3.72,4.06,3.97,3.99,3.98,3.54,,2.93,,,3.73,,,3.59,,,,3.87,
Syrian Arab Republic,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,1.2,,,,3.03,,,,,,,,,,,,,,,,
Guinea-Bissau,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,42.25,,,,,,,,14.61,,,14.46,,
Luxembourg,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,0.62,,0.71,0.7,0.75,0.65,0.8,0.76,,1.4,0.31,0.65,1.04,0.09
Nicaragua,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,5.72,,,,,,,,5.86,,,,,10.5,,,,,,,,,
Gabon,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,13.04,,,,,,,,,,,,17.24,,,,,,
Jordan,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,0.02,,,,,,0.54,,0.55,,,,,,,,,,,,,
São Tomé and Príncipe,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,11.88,,,,,,,15.93,,,,,,
Mauritius,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,8.1,,,,,,14.54,,,,,9.23,,,,,,9.98
Suriname,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,11.19,,,,,,10.67,
"Yemen, Rep.",All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,6.23,,,,,,,,,8.26,,,,,,,,,
Angola,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,2.58,,,,,,,,,,9.15,,,,,
Rwanda,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,13.89,,,,,,,,8.97,,,5.2,,,,,,,
