REF_AREA_LABEL,FINANCIAL_HARDSHIP_LABEL,URBANIZATION_LABEL,IC_QUINTILE_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Marshall Islands,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,0.25,,,,
Cyprus,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,13.51
"Iran, Islamic Rep.",All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,21.33,22.18,,,21.73,,,,17.41,,,20.42,19.04,18.02,18.37,19.4,19.78,17.63,
North Macedonia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,13.1,14.49,,17.06,16.9,,,,10.95,14.65,15.74,10.26,12.23,13.11,12.72,13.74,13.74,12.59,,,,
Thailand,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,2.92,2.41,,,,,,,2.3,,,,,,
West Bank and Gaza,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,6.01,,6.41,,,,,15.55,,,,,,,16.93
Iraq,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,3.14,,,,,,3.78,,,,,,,,,,,
Mauritius,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,8.78,,,,,,12.19,,,,,9.5,,,,,,12.62
Seychelles,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,0.0,,,,,,,1.35,,,,,,,,,,
Ethiopia,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,52.9,,,,,,,56.9,,,,61.98,,,51.29,,,55.07,,
Burundi,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,3.56,,,,,,,1.34,,,,,,,,,,
West Bank and Gaza,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,2.49,1.27,2.55,2.21,,3.03,1.49,2.06,,,,,1.89,,,,,,,2.88
Malaysia,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,3.72,
Denmark,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,5.98,,,,,,,,,,,,,
Tuvalu,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,2.31,,,,,,,,
Zimbabwe,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,12.09,,,,,,
Haiti,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,21.65,17.82,,,,,,,,,,
Honduras,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,26.02,,,,,,,,,,,,,,,,,,,
Morocco,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,8.21,,,,,,,,,,,,,17.2,,,,,,,,,,
Mozambique,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,34.38,,,,,,41.89,,,,,31.25,,,,
Guinea,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,33.06,,,,,
Panama,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,32.85,,,,,,,,,,,,,,,,,,,,
United Kingdom,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,5.69,,,,,5.56,,,5.81,5.79,6.08,5.45,5.84,5.53,6.06,6.1,7.16,6.34,6.81,7.5,5.96,6.23,,
Belarus,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,1.94,1.76,1.77,1.5,1.11,1.02,0.9,1.08,0.94,0.97,1.0,1.09,1.43,1.1,1.31,1.7,1.39,0.91,2.57,,,
Ethiopia,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,28.08,,,,,,,33.11,,,,28.23,,,25.78,,,27.13,,
Estonia,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,2.76,,,3.8,4.27,4.53,,,,,,2.83,,,,,,,,,,,,
Slovak Republic,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,9.95,7.86,7.46,7.71,7.43,7.33,6.48,5.81,,,8.52,,,,,6.87,7.06,8.11,
Sierra Leone,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,6.79,,,,,,,,9.53,,,,,,,3.72,,,,,
"Congo, Dem. Rep.",All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,88.71,,,,,,,,82.63,,,,,,,,,,,
Lesotho,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,28.11,,,,,,
Russian Federation,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,25.75,,21.77,23.58,22.64,,,,,,,,,,,,,,,,,,,
Germany,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,11.13,,,,,,,,,,,,,
Slovenia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,19.07,21.21,21.97,21.02,20.87,16.35,18.64,18.26,19.21,19.74,20.43,,17.39,,,12.31,,,15.65,,,,24.45,
Guinea-Bissau,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,3.18,,,,,,,,1.49,,,,,,,,0.59,,,0.19,,
Tunisia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,25.08,,,,,26.95,,,,,24.46,,,,,21.16,,,,,,31.18,,
"Congo, Dem. Rep.",Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,1.62,,,,,,,,1.43,,,,,,,,,,,
United Kingdom,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,0.23,,,,,0.47,,,0.51,0.78,0.82,0.56,0.35,1.13,0.43,0.19,0.65,0.24,0.44,0.35,0.67,0.95,,
Zambia,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,34.7,,42.26,,,,21.7,,,,,13.66,,,,,,,,
Mexico,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,1.03,,,,0.71,,0.74,,0.39,,0.89,,0.28,,0.97,,0.62,,1.64,
Mali,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,1.34,,,1.71,,1.22,,2.21,2.01,2.88,2.16,1.89,1.96,1.93,,2.67,1.91,
Suriname,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,2.58,,,,,,0.83,
Nauru,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,0.0,,,,,,,,,,,
Sweden,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,12.17,,,,,,
Portugal,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,27.8,,,,,,,,,,22.57,,,,,16.7,,,,,,,10.6,
"Congo, Rep.",All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,11.7,,,,,,6.19,,,,,,,,,,,,
Liberia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,45.22,,42.83,,,,,,,
Honduras,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,6.81,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,0.74,1.15,0.89,1.37,2.02,1.73,1.05,1.42,0.61,1.02,0.86,0.87,0.45,0.67,0.64,0.96,1.13,,,0.94,1.58,0.86,0.79,
Hungary,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,3.24,2.72,2.74,3.96,3.21,3.05,2.94,3.42,,,,,,,,,,,,,,,,
Tanzania,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,8.04,,,,,,,0.82,,,,4.25,,,,,,,1.87,,3.37,,,
Belarus,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,0.38,0.39,0.6,0.05,0.14,0.44,0.07,0.21,0.35,0.17,0.24,1.11,0.51,0.8,1.45,1.92,1.14,0.93,1.02,,,
United Kingdom,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,0.31,,,,,0.24,,,0.3,0.28,0.29,0.34,0.15,0.25,0.29,0.23,0.6,0.38,0.47,0.43,0.44,0.28,,
Maldives,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,0.48,,,,,9.87,,,,,,,5.29,,,1.95,,,,
Lao PDR,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,1.12,,,,,4.23,,,,,5.66,,,,,,3.04,,,,,
Cabo Verde,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,12.22,,,,,,14.32,,,,,,,,21.24,,,,,,,,
Syrian Arab Republic,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,14.53,,,,10.53,,,,,,,,,,,,,,,,
Zimbabwe,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,9.69,,,,,,
"Congo, Dem. Rep.",All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,62.76,,,,,,,,,,,
Moldova,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,13.06,10.24,9.05,8.59,9.78,10.09,8.08,8.55,9.14,8.48,10.95,8.37,9.79,9.85,6.78,8.06,6.82,6.4,5.45,3.39,5.15,4.63,3.73,3.07
Bosnia and Herzegovina,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,10.0,,,9.03,,,10.15,,,,9.27,,,,10.11,,,,,,4.49,3.64,
Italy,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,0.97,,,,,,,,,1.14,,,,,,,,,,,,,
Sierra Leone,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,75.83,,,,,,,,75.25,,,,,,,93.16,,,,,
São Tomé and Príncipe,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,18.93,,,,,,
Azerbaijan,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,2.21,2.59,2.48,2.69,,,,,,,,,,,,,,,,,,
Germany,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,0.03,,,,,,,,,,,,,
"Egypt, Arab Rep.",All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,25.86,,,,,30.05,,33.97,,,,
Sierra Leone,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,28.91,,,,,,,,,,,,,,,,,,,,
Honduras,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,28.09,,,,,,,,,,,,,,,,,,,
Moldova,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,10.06,11.28,12.94,13.44,11.76,12.7,20.26,18.23,17.74,18.15,19.25,16.99,17.56,17.62,14.64,17.26,15.81,15.71,13.66,12.67,9.89,11.5,10.39,9.81
"Congo, Dem. Rep.",All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,59.86,,,,,,,,50.7,,,,,,,,,,,
Montenegro,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,7.85,5.86,9.13,8.61,5.99,6.19,7.91,6.82,8.22,7.6,6.85,,,,,,,,
Croatia,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,1.11,,,,0.8,1.47,1.27,,,,,,,,,,,,,
"Egypt, Arab Rep.",All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,4.46,,,,14.81,,,17.17,,18.87,,21.03,,,,
Tonga,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,7.64,,,,,,5.74,,
Sierra Leone,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,72.21,,,,,,,,70.04,,,,,,,94.91,,,,,
Cabo Verde,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,16.51,,,,,,25.34,,,,,,,,35.87,,,,,,,,
Iraq,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,1.48,,,,,,1.88,,,,,8.82,,,,,,
Ethiopia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,27.02,,,,,,,32.04,,,,25.36,,,21.19,,,24.18,,
Central African Republic,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,13.14,,,,,,,,,,,,,29.03,,
United States,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,0.93,0.85,0.84,0.73,0.78,0.81,0.7,0.75,0.61,0.63,0.58,0.53,0.63,0.62,0.65,0.42,0.48,0.55,0.48,0.55,0.57,0.57,0.44,0.55
Greece,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,10.42,,,,8.91,9.03,8.97,6.97,7.47,8.19,9.39,7.52,8.49,7.68,7.73,7.61,7.52,8.28,8.02,13.33
Portugal,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,1.16,,,,,2.3,,,,,1.8,,,,,0.14,,,,,,,0.44,
Kosovo,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,24.85,,30.68,25.67,,,26.6,27.51,14.99,,,,,10.57,,,,,,,
Slovenia,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,0.0,0.0,0.0,0.09,0.1,0.1,0.0,0.09,0.0,0.0,0.0,,0.49,,,0.9,,,0.47,,,,0.66,
Portugal,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,12.14,,,,,12.3,,,,,14.07,,,,,14.02,,,,,,,12.04,
Djibouti,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,43.19,,,,,,,,,,5.42,,,,,10.86,,,,,,
Azerbaijan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,8.17,10.11,5.9,4.78,,,,,,,,,,,,,,,,,,
Ethiopia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,11.62,,,,,,,,,,,8.82,,,22.07,,,6.54,,
Brazil,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,20.72,,,,,,,,,,,,,,,
Honduras,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,16.27,,,,,,,,,,,,,,,,,,,
Brazil,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,40.51,,,,,,,,,,,,,,,
Bolivia,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,10.17,10.15,10.04,,,,,,,,,,,14.33,15.66,12.94,,,15.11,12.91,,10.27,,
Serbia,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,36.4,43.75,36.12,45.73,51.6,43.81,49.35,50.86,47.69,36.05,39.4,38.36,41.05,40.4,,43.28,51.58,
Russian Federation,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,1.01,0.51,1.22,0.33,0.52,,,,,,0.84,0.86,,1.33,1.1,,,,,,,,,
Kyrgyz Republic,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,27.71,30.63,25.61,25.74,23.2,39.6,34.34,35.3,29.36,29.99,29.98,7.7,7.61,13.59,12.61,15.48,11.48,,,11.1,19.67,12.58,9.89,
Belarus,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,22.98,21.3,16.98,17.55,16.38,14.0,13.3,13.33,11.61,10.89,9.45,9.1,8.68,8.75,8.03,7.72,6.95,6.93,5.24,,,
Ukraine,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,21.12,17.33,16.31,13.03,13.03,12.6,10.91,12.51,11.41,11.57,11.43,10.94,11.51,11.55,14.3,12.0,12.06,12.42,,,,
Panama,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,2.25,,,,0.54,,,,,,,,,,0.77,,,,,,
Sudan,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,8.64,,,,,4.15,,,,,,,,,
Zambia,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,0.61,,0.34,,,,0.12,,,,,0.07,,,,,,,,
Sierra Leone,Impoverishing,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,47.77,,,,,,,,39.67,,,,,,,40.91,,,,,
Philippines,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,9.96,,,9.98,,,10.18,,,9.61,,,,,,,,
Central African Republic,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,38.79,,,,,,,,,,,,,53.26,,
Poland,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,6.01,5.78,5.87,5.64,6.06,6.64,6.14,6.79,5.69,5.91,5.62,5.76,5.65,5.77,5.33,5.49,6.04,,,,,,,
Djibouti,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,23.91,,,,,,,,,,6.55,,,,,8.28,,,,,,
Azerbaijan,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,4.13,4.51,3.63,3.45,,,,,,,,,,,,,,,,,,
Barbados,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,13.02,,,,,,,
Chad,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,37.51,,,,,,,,15.5,,,,,,,14.2,,,,,
Georgia,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,2.64,2.59,3.03,2.69,2.54,3.33,4.15,3.62,4.74,5.31,4.6,4.34,,,,,,,,,,,,
El Salvador,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,3.0,,9.42,8.85,7.98,8.08,,,,
Guatemala,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,1.19,,,,,,,,,,,6.96,,,9.16,,,,,,,,,4.16
Ecuador,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,47.36,,35.68,,,,,,,,,,
Rwanda,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,47.56,,,,,41.57,,,,,,,,30.24,,,33.37,,,,,,,
South Sudan,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,13.14,,,,,,,30.84,,,,,,,
Benin,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,32.0,,,,,,,,,,,,31.02,,,19.99,,,,,
Tonga,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,11.53,,,,,,9.38,,
Ecuador,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,2.92,,2.08,,,,,,,,,,
Russian Federation,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,20.96,20.1,20.68,21.79,21.82,,,,,,17.13,17.75,,16.66,15.43,,,,,,,,,
Czechia,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.06,0.13,0.07,0.11,0.0,0.24,0.0,0.13,0.0,,,1.2,1.37,,0.92,1.44,1.28
El Salvador,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,0.92,,2.05,1.71,1.7,1.64,,,,
Bulgaria,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,11.68,,,,9.91,,,,,10.75,,,,,10.23,9.59,10.04,9.09,8.41,,8.05,7.05,6.71
Estonia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,10.57,,,12.21,12.1,12.0,,,,,,8.92,,,,,,,,,,,,
India,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,54.64,57.0,,45.88,45.55,,44.78,34.32,,43.67,,34.89,,,,,,,,,,,12.41,
Haiti,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,16.26,19.22,,,,,,,,,,
Malta,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,16.96,,,,,,,17.07,,,,,,,,
Ecuador,All,Total,Wealth quintile 3,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,9.33,,6.05,,,,,,,,,,
Côte d’Ivoire,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,23.65,,,,,,27.13,,,,,,,14.72,,,14.07,,,11.79,,
Honduras,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,26.73,,,,,,,,,,,,,,,,,,,
Bolivia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,12.58,12.86,7.82,,,9.81,10.75,,6.65,,
Timor-Leste,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,0.75,,,,,,,1.08,,,,,,,,,
Sudan,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,7.31,,,,,8.13,,,,,,,,,
Benin,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,4.96,,,,,,,,3.2,,,,2.89,,,5.14,,,6.72,,
Lebanon,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,5.93,,6.04,,,,,,
Tajikistan,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,16.12,,24.78,,,,31.87,33.15,,40.42,38.31,40.51,38.27,,,,
"Gambia, The",Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,0.42,,,,,,,0.42,,,,,0.5,,,,,,,,
Nigeria,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,45.25,,,,,,,52.84,,50.55,,,60.95,,,55.91,,,,51.77,
Peru,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,2.09,,,,,,1.54,1.76,1.89,1.57,1.65,1.8,1.82,1.74,1.39,1.44,1.36,1.36,1.26,1.37,1.68,1.78,3.7,
Philippines,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,1.47,,,1.65,,,2.07,,,2.11,,,2.66,,,2.86,,,2.04,,,2.57,,2.42
Cook Islands,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,26.18,,,,,,,,
Netherlands,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.92,,,,,,,,
Tuvalu,All,Total,Wealth quintile 5 (richest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,0.0,,,,,,,,
Burundi,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,71.01,,,,,,,53.89,,,,,,,,,,
Timor-Leste,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,8.27,,,,,,,11.63,,,,,,,,,
Lesotho,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,57.65,,,,,,
Bolivia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,21.44,21.79,18.37,,,20.29,18.24,,15.24,,
Angola,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,,20.93,,,,,
Colombia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,9.45,,9.2,,,,,,,,,,,7.5,,
Tunisia,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,4.42,,,,,3.69,,,,,2.71,,,,,2.44,,,,,,8.89,,
United States,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,8.47,8.14,8.32,7.65,7.88,8.21,7.62,7.24,7.49,7.51,7.76,8.31,7.88,8.12,7.69,6.41,6.31,6.79,6.79,6.86,6.25,6.33,6.77,6.21
Malawi,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,0.29,,,,,,0.59,,,0.55,,,1.13,,,0.87,,,,
Nepal,Further impoverished,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,37.37,,,,,,,,,,22.52,22.19,22.32,21.07,,,,,,16.0,
Kiribati,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,0.7,,,,,,,,,,,,,8.2,,,,
Bangladesh,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,63.97,,,,,50.97,,,,,54.39,,,,,,57.75,,,,,,61.81,
Bosnia and Herzegovina,All,Urban area,All,Population facing financial hardship due to out-of-pocket health expenditure,,17.4,,,7.3,,,,,,,,,,,,,,,,,6.19,,
Jamaica,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,26.98,23.08,,,,26.22,33.64,37.83,,6.29,,,11.59,8.54,,9.68,10.5,,,,
Latvia,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,12.02,,11.51,9.08,7.81,6.22,9.13,9.66,8.19,11.9,10.43,10.6,12.3,13.96,12.26,,,12.17,,,,
Senegal,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,39.88,,,,,,,,,,,,,24.81,,,28.11,,
Moldova,Large OOP,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,2.48,3.17,4.05,4.56,4.76,4.53,5.25,6.01,6.26,6.87,7.66,7.06,7.96,7.79,6.64,8.19,7.24,8.04,6.64,6.1,4.67,6.16,4.95,4.51
Nicaragua,Pushed into poverty,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,3.04,,,,,,,,3.05,,,,,5.98,,,,,,,,,
Botswana,All,Total,Wealth quintile 1 (poorest),Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,24.81,,,,,,24.63,,,,,,,,
Cameroon,All,Total,All,Population facing financial hardship due to out-of-pocket health expenditure,,46.78,,,,,,40.53,,,,,,,40.49,,,,,,,,38.84,
Zimbabwe,All,Total,Wealth quintile 4,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,14.06,,,,,,
Honduras,All,Total,Wealth quintile 2,Population facing financial hardship due to out-of-pocket health expenditure,,,,,55.2,,,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,All,Rural area,All,Population facing financial hardship due to out-of-pocket health expenditure,,,,,,,,,,,,,,,,,,16.63,,,,,,
